name;group;"""Cultural""";"""Charitable""";"""Religious""";"""Environmental""";"""Labour Union""";"""Political Party""";"""Professional""";"""Sport and Rec"""
"""World Average""";"""World Average""";8,6;5,7;17,9;3,4;5,2;4,8;6;12,5
"""Albania""";"""Europe""";3,3;0,8;4,8;0,8;1,6;13,1;4,9;5,1
"""Azerbaijan""";"""Asia""";2,1;0,2;1,5;0,2;2,8;1,8;0,8;1,5
"""Argentina""";"""South America""";9,9;6,3;14,6;2,5;1,8;3,1;5;7,9
"""Australia""";"""Oceania""";25,7;17,6;21,7;6,8;11,9;2,4;19,5;37,2
"""Bangladesh""";"""Asia""";17,7;3,6;23,8;5,8;3,7;11;9,2;16,5
"""Armenia""";"""Asia""";8,2;1,6;1,5;1,2;1,2;1,2;2,4;5,1
"""Brazil""";"""South America""";11,4;14,8;30,9;6,2;9,8;7,2;10,5;13,2
"""Bulgaria""";"""Europe""";1,7;0,7;0,8;0,2;4,9;2,2;0,6;1,7
"""Belarus""";"""Europe""";1,6;0,2;2,3;0,5;2,4;0,4;0,1;1,9
"""Chile""";"""South America""";12,8;7,9;28,1;3,9;5,6;2,8;7;16,2
"""China""";"""Asia""";5,7;2,9;-;2,4;5,9;6,4;2,3;10,1
"""Taiwan""";"""Asia""";4;6,5;7,9;1,4;8,6;3,3;2,4;3,7
"""Colombia""";"""South America""";2,9;4,5;28,5;4,2;3,8;6;5,1;13,7
"""Croatia""";"""Europe""";6,6;4,7;16,2;1,4;6;2,8;6,1;10,6
"""Czech Rep.""";"""Europe""";3,4;1,1;4,7;1,5;3,2;2,5;3,6;11,2
"""Dominican Rep.""";"""Central America""";23,7;11,5;36,2;9,1;7,4;10,8;17,7;17
"""El Salvador""";"""Central America""";9,9;9,8;40,4;-;1;2,2;4,7;11,7
"""Estonia""";"""Europe""";5,2;0,6;2,4;0,4;1,2;0,6;1,3;5,8
"""Finland""";"""Europe""";8,4;4;9,4;1,1;4,4;2,4;1,5;12,9
"""Georgia""";"""Asia""";3,1;0,7;0,6;0,2;0,7;2;1,1;1
"""Germany""";"""Europe""";10,5;7,5;12;2,1;7,1;3,3;4,5;28,4
"""Hungary""";"""Europe""";2,2;2,5;9,4;0,6;8;2,6;6;8,3
"""India""";"""Asia""";11,9;8,3;14,2;4,8;7,4;8,9;6,5;10,2
"""Japan""";"""Asia""";6;1,4;5,1;1,3;2,7;1,6;6,5;12
"""South Korea""";"""Asia""";7,1;6,2;15,5;6,2;1,9;2,5;6;14,4
"""Latvia""";"""Europe""";5;0,7;3,5;0,8;1,9;0,8;3,2;5,1
"""Lithuania""";"""Europe""";3;0,6;3,5;0,4;1,1;1,1;1,2;2,8
"""Mexico""";"""North America""";21,3;9,3;39,3;9,4;9,9;9,1;11,3;24,3
"""Moldova""";"""Europe""";4,8;1,5;12,5;1,3;5,9;0,9;1,7;4,2
"""New Zealand""";"""Oceania""";22,3;17,7;19,7;4,6;5,5;1,8;15;38,6
"""Nigeria""";"""Africa""";18,7;14,6;68;15,1;10,3;7,4;18,7;19,8
"""Norway""";"""Europe""";14,9;9,1;8,3;0,9;15,5;3,2;9;23,3
"""Peru""";"""South America""";11;6,4;23,8;3;4,2;2,6;7,4;16,2
"""Philippines""";"""Asia""";5,3;5;13,3;7,1;3,1;3,6;4,2;9,5
"""Poland""";"""Europe""";-;-;-;-;2,1;0,5;-;-
"""Puerto Rico""";"""Central America""";13,8;20,7;54,6;6,2;5,9;24,3;17,9;13,6
"""Romania""";"""Europe""";4,2;2;14,9;2,3;10,4;5,1;3,7;4,3
"""Russia""";"""Asia""";3,3;0,5;1,9;0,4;7,2;0,8;0,9;3,3
"""Slovakia""";"""Europe""";2;1,5;9,4;1,1;2,4;2,2;3,2;7,2
"""Slovenia""";"""Europe""";4,5;2,9;7,2;0,8;4,6;1,3;4,9;10,2
"""South Africa""";"""Africa""";14,9;8,2;58,4;7,2;7,5;11,7;7;19,5
"""Spain""";"""Europe""";7,7;4,6;17,1;2,6;3,2;1,8;4,3;12,9
"""Sweden""";"""Europe""";12,5;6,5;7,7;2,2;12,8;4,7;5,2;26,5
"""Switzerland""";"""Europe""";17,6;5,8;18,3;4,8;5,5;5,1;10,5;35,6
"""Turkey""";"""Asia""";2,4;2,6;1,1;1,3;2,6;5,7;4,7;3,4
"""Ukraine""";"""Europe""";1,7;0,5;2;0,6;3,1;0,6;0,9;1,7
"""Macedonia""";"""Europe""";4,6;3,2;4,4;2,3;4,9;5,7;4,3;6
"""United States""";"""North America""";24;27,1;49,7;9,4;9,7;20,6;22,1;25,5
"""Uruguay""";"""South America""";11;3,8;13,9;3,9;4,6;5,8;2,3;7,7
"""Venezuela""";"""South America""";9,9;7,2;20,9;5,5;5,2;3,8;8,3;16,8
"""Serbia""";"""Europe""";1,9;1,7;2,1;0,5;1,9;3;2,8;5,8
"""Montenegro""";"""Europe""";2,5;2,5;3,3;0,4;2,5;5;3,8;4,6
"""Bosnia""";"""Europe""";4,5;3,2;16,1;2,5;7,5;6;4,6;11,6
