name,pop95,pop96,pop97,pop98,pop99,avgpop
Albania,3110000,3090000,3090000,3100000,3120000,3102000
Azerbaijan,7780000,7860000,7930000,7990000,8050000,7922000
Argentina,35000000,35400000,35800000,36200000,36600000,35800000
Australia,18100000,18300000,18500000,18700000,18900000,18500000
Bangladesh,119000000,121000000,124000000,126000000,129000000,123800000
Armenia,3220000,3170000,3130000,3110000,3090000,3144000
Brazil,162000000,165000000,168000000,170000000,173000000,167600000
Bulgaria,8380000,8290000,8210000,8140000,8070000,8218000
Belarus,10100000,10100000,10100000,10000000,9990000,10058000
Chile,14300000,14500000,14700000,14900000,15100000,73500000
China,1240000000,1250000000,1260000000,1270000000,1280000000,1260000000
Taiwan,,,,,,21500000
Colombia,37400000,38000000,38600000,39200000,39800000,38600000
Croatia,4620000,4570000,4530000,4490000,4460000,4534000
Czech Rep.,10400000,10400000,10300000,10300000,10300000,10340000
Dominican Republic,7890000,8030000,8160000,8300000,8430000,8162000
El Salvador,5610000,5670000,5730000,5780000,5830000,5724000
Estonia,1430000,1420000,1410000,1410000,1400000,1414000
Finland,5120000,5140000,5150000,5160000,5180000,5150000
Georgia,5020000,4950000,4880000,4830000,4770000,4890000
Germany,81200000,81400000,81500000,81500000,81500000,81420000
Hungary,10300000,10300000,10300000,10300000,10200000,10280000
India,960000000,979000000,997000000,1020000000,1030000000,997200000
Japan,126000000,127000000,127000000,127000000,127000000,126800000
South Korea,45300000,45800000,46200000,46600000,47000000,46180000
Latvia,2510000,2480000,2450000,2430000,2410000,2456000
Lithuania,3630000,3600000,3580000,3560000,3530000,3580000
Mexico,94000000,95700000,97300000,98800000,100000000,97160000
Moldova,4340000,4310000,4280000,4250000,4220000,4280000
New Zealand,3670000,3720000,3750000,3780000,3820000,3748000
Nigeria,108000000,111000000,114000000,116000000,119000000,113600000
Norway,4370000,4390000,4420000,4450000,4470000,4420000
Peru,24000000,24400000,24800000,25200000,25600000,24800000
Philippines,69800000,71400000,73100000,74700000,76300000,73060000
Poland,38500000,38500000,38500000,38600000,38600000,38540000
Puerto Rico,,,,,,3747000
Romania,23000000,22800000,22600000,22500000,22300000,22640000
Russia,148000000,148000000,148000000,147000000,147000000,147600000
Slovakia,5380000,5380000,5390000,5400000,5400000,5390000
Slovenia,1990000,1990000,1990000,1990000,1990000,1990000
South Africa,42100000,42900000,43700000,44400000,45100000,43640000
Spain,39900000,40000000,40100000,40300000,40500000,40160000
Sweden,8840000,8860000,8870000,8870000,8870000,8862000
Switzerland,7020000,7060000,7090000,7120000,7140000,7086000
Turkey,58500000,59400000,60400000,61300000,62300000,60380000
Ukraine,50900000,50600000,50200000,49700000,49300000,50140000
United States,266000000,269000000,272000000,276000000,279000000,272400000
Uruguay,3220000,3250000,3270000,3290000,3310000,3268000
Macedonia,1980000,1990000,2000000,2010000,2020000,2000000
Venezuela,22200000,22700000,23100000,23600000,24000000,23120000
Serbia,9880000,9860000,9780000,9680000,9580000,9756000
Montenegro,620000,620000,618000,616000,615000,617800
Bosnia,3840000,3780000,3750000,3750000,3760000,3776000
