country,EnergySupplyPerPerson2010,health2000,health2001,health2002,health2003,health2004,health2005,health2006,health2007,health2008,health2009,health2010,health2011,health2012,health2013,health2014,health2015,DomesticGeneralGovernmentHealthExpenditureAVGPercentofGDP,labour1995,labour1996,labour1997,labour1998,labour1999,labour2000,labour2001,labour2002,labour2003,labour2004,labour2005,labour2006,labour2007,labour2008,labour2009,labour2010,labour2011,labour2012,labour2013,labour2014,labourparticipation15
Albania,0.648,2.39,2.39,2.31,2.25,2.77,2.8,2.62,2.55,2.66,2.76,2.51,2.83,2.65,2.77,3.03,2.89,2.63625,63.2,63,63.6,63.4,63,62.7,62.1,61.7,60.4,59.1,57.9,56.9,55.9,55.1,54.5,54.3,55.7,57.4,53.7,54.4,58.9
Algeria,1.14,2.51,2.93,2.81,2.76,2.53,2.24,2.3,2.67,3.03,3.8,3.56,3.72,4.38,4.29,4.71,4.98,3.32625,45,44.9,44.6,44.2,43.9,43.6,43.3,43.1,42.9,42.7,42.5,42.4,42.3,42.2,42.1,42.4,42.5,42.7,43.7,41.5,43.125
Andorra,,3.89,3.95,4.07,3.91,3.89,4.5,4.47,4.59,5.24,5.76,6.33,6.54,6.71,8.82,6.66,6.66,5.374375,,,,,,,,,,,,,,,,,,,,,
Argentina,1.85,1.19,1.28,1.23,2.71,2.6,2.66,2.87,3.05,3.11,3.66,3.71,3.63,3.99,4.25,4.51,4.88,3.083125,60.5,60.7,61.2,61.5,61.5,61.7,61.7,61.3,61.8,62.4,62,62.3,61.6,60.9,61.2,59.7,60.8,60.7,60.4,59.9,61.19
Armenia,0.791,1.03,1.45,1.26,1.28,1.39,1.47,1.59,1.62,1.5,1.81,1.69,1.66,1.54,1.48,1.51,1.61,1.493125,58.2,57.8,57.5,57.1,56.8,56.4,56.2,56,55.9,55.8,55.9,56,56.3,56.4,57.1,59.6,60.6,60.4,60.8,60.5,57.565
Australia,5.6,5.2,5.21,5.41,5.37,5.54,5.45,5.45,5.58,5.7,5.95,5.81,5.94,5.89,5.95,6.12,,5.638,63.7,63.7,63.3,63.2,63,63.4,63.5,63.6,63.8,63.6,64.5,64.9,65.3,65.6,65.5,65.5,65.6,65.2,65,64.8,64.335
Azerbaijan,1.29,0.867,0.847,0.792,0.823,1,0.88,0.855,0.96,0.813,1.32,1.15,1.23,1.31,1.37,1.31,1.35,1.0548125,63.7,63.7,63.6,63.4,63.2,63.3,63.3,63.3,63.3,63.4,63.4,63.6,63.7,63.8,63.9,64,64,64.3,64.5,65.1,63.725
Bangladesh,0.209,0.69,0.528,0.648,0.67,0.652,0.587,0.543,0.554,0.496,0.475,0.517,0.531,0.533,0.403,0.366,0.388,0.5363125,56.7,56.8,57,57.2,57.3,57.5,57.5,57.6,57.6,57.6,57.6,57.5,57.4,57.2,57.1,57,56.9,56.8,56.7,56.6,57.18
Belarus,2.89,4.3,4.4,4.22,4.53,4.55,4.68,4.12,4.13,3.6,3.6,3.99,3.19,3.56,3.69,3.49,3.81,3.99125,59.1,59,58.8,58.8,58.8,59.1,59.4,59.7,60,60.4,60.8,61.2,61.6,62.1,62.6,63,63.3,63.6,63.9,64.1,60.965
Bosnia,1.7,4.09,4.34,4.43,5.49,5.16,4.94,5,5.27,5.41,6.16,6.16,6.29,6.53,6.58,6.66,6.44,5.559375,50.4,50.1,50,49.8,49.6,49.5,49.3,49.1,48.9,48.8,48.9,48.7,48.6,48.5,48.4,48.2,48,47.7,47.3,47,48.84
