country,InternetUsers,LifeExpectancy,GDPPerCapita,HealthSpending,CO2Emissions,LabourForceParticipation,DeadKidsPerWoman
Albania,41.2,75.9,9530,107,1.48,62.2,0.0661
Algeria,11.2,76.3,12600,143,3.42,45.1,0.144
Andorra,78.5,82.7,41700,2360,6.12,,
Argentina,34,75.7,17200,488,4.41,68.7,0.104
Armenia,15.3,73,6530,56,1.51,62,0.0984
Australia,74.3,81.8,41200,2680,18.2,76.4,0.0512
Azerbaijan,27.4,68.8,15400,65.4,3.57,69,0.179
Bangladesh,3.1,70.1,2340,53.1,0.357,58.7,0.227
Belarus,27.4,70.3,15000,199,6.45,74.7,0.117
Bosnia,37.7,76.6,9580,304,5.53,56.9,0.0595
Brazil,39.2,74,13700,320,1.88,71.8,0.116
Bulgaria,45,73.6,15200,256,5.72,67.6,0.0926
Burkina Faso,1.13,57.4,1350,19.3,0.128,72.4,1.37
Canada,80.3,81.1,39900,3190,15.9,78,0.0486
Chile,41.6,79.2,18500,382,3.97,63.7,0.0661
China,28.9,74.3,8650,100,5.92,77,0.1
Colombia,30,76.2,10600,278,1.6,72,0.149
Croatia,50.6,76.1,20400,944,4.88,65.5,0.0672
Cyprus,49.8,79.6,34400,745,7.39,71.8,0.0524
Czech Rep.,64.4,77.2,27700,1260,10.3,70,0.0611
Dominican Republic,27.7,74.4,10400,115,2.07,66.1,0.163
Ecuador,24.6,76.5,9180,112,2.46,70.2,0.129
Egypt,20,70.4,9560,44.9,2.51,51.7,0.173
El Salvador,12.1,73.8,7230,137,1.05,64.9,0.156
Estonia,72.5,75,22200,758,10.9,74.2,0.0945
Ethiopia,0.54,60.4,980,8.33,0.0776,85.7,0.862
Finland,82.5,79.8,38900,3050,9.95,74.8,0.0592
France,71.6,81.2,36300,3770,5.61,70.3,0.0576
Georgia,20.1,72.7,6260,55.9,1.46,68.4,0.097
Germany,79,79.9,38800,3630,8.92,76.4,0.0442
Ghana,5.44,61.7,2910,30.9,0.322,77.1,0.615
Haiti,8.1,60,1610,8.73,0.23,66.2,0.566
Hungary,62,74.2,22100,667,4.87,61.2,0.077
India,5.12,65.8,4050,13.4,1.43,58.6,0.334
Indonesia,6.92,69.6,8050,26,1.87,69.8,0.195
Iran,13.8,74.1,16600,118,7.52,45.5,0.117
Iraq,1.06,66.9,12300,157,3.5,49.2,0.472
Italy,48.8,81.5,35700,2590,6.73,62.2,0.0372
Japan,78,82.7,34300,3090,8.59,74,0.0322
Jordan,26,75.3,9750,262,3.21,44.8,0.196
Kazakhstan,18.2,67.7,19000,193,13.2,76.4,0.297
Kuwait,50.8,77.5,81900,1350,31,70.8,0.13
Kyrgyzstan,16,68,2840,30.3,1.27,67.5,0.288
Latvia,66.8,72.6,18600,466,3.37,73.7,0.0895
Lebanon,30.1,79.5,15600,259,4.99,50,0.125
Libya,10.8,75.9,28400,283,9.47,55.8,0.149
Lithuania,59.8,73,20300,614,3.95,69.6,0.098
Macedonia,51.8,73.7,11000,207,4.2,63.9,0.0815
Malaysia,55.9,74.3,20100,176,7.2,63,0.151
Mali,1.8,59,1830,15.6,0.0552,64.3,1.8
Mexico,26.3,75.4,15000,253,4.12,64.6,0.1
Moldova,27.5,69.9,3650,92.4,1.11,47.6,0.134
Montenegro,35.1,76.2,13700,443,2.93,58.8,0.0945
Morocco,41.3,73.3,6290,58.7,1.64,52.8,0.158
Netherlands,89.6,80.5,45100,4550,10.4,79.8,0.0563
New Zealand,79.7,80.6,32100,2240,7.49,77.4,0.0688
Nigeria,9.3,59.8,4910,23.4,0.497,54.9,1.57
Norway,92.1,80.9,62700,6340,11.5,78.8,0.0562
Pakistan,7.5,65,4300,6.99,0.951,55.6,0.44
Palestine,32.2,71.9,2330,,0.528,42.8,0.31
Peru,31.4,77.9,9310,136,1.78,81,0.144
Philippines,9,68.8,5290,23.2,0.841,64.1,0.316
Poland,59,75.8,21000,600,7.77,64.7,0.0625
Qatar,53.1,78.9,117000,1260,43.5,85.7,0.0894
Romania,36.6,73.3,17900,341,3.96,62.8,0.077
Russia,29,68.9,22100,302,11,72.9,0.145
Rwanda,7.7,63.3,1300,25.1,0.0577,88.2,1.26
Serbia,38.1,74.5,12600,357,5.09,61,0.0905
Singapore,69,82.4,63700,553,11.3,72.3,0.0373
Slovakia,70,75.1,24000,968,6.3,68.4,0.0662
Slovenia,64,79.1,28500,1640,7.51,71.7,0.0499
South Africa,10,53.1,11800,228,9.87,57.4,0.675
South Korea,81.6,79.9,28600,689,10.3,65,0.0419
Spain,62.4,81.7,32700,2230,6.2,73.2,0.0419
Sweden,91,81.3,40900,3540,4.62,78.9,0.0559
Switzerland,81.3,82,54500,4290,5.38,82.5,0.0391
Tanzania,2.4,58.6,2030,17.9,0.133,83.8,1.17
Thailand,20.1,76.1,12600,119,4,78.2,0.0905
Trinidad and Tobago,44.3,72.5,30400,514,34,69.7,0.136
Tunisia,34.1,76.7,10200,133,2.36,50.3,0.113
Turkey,36.4,78.2,16800,432,3.89,50.4,0.131
Uganda,9.78,56,1510,9.59,0.103,71.8,1.61
